country,market_segment_id,distribution_channel_id,deposit_type,agent,days_in_waiting_list,customer_type,Booking_id
PRT,1,1,No Deposit,0,0,Transient,750524ce
PRT,1,1,No Deposit,0,0,Transient,3e98966d
GBR,1,1,No Deposit,0,0,Transient,d6a32ed5
GBR,2,2,No Deposit,304,0,Transient,4748932e
GBR,3,3,No Deposit,240,0,Transient,787c5ac4
GBR,3,3,No Deposit,240,0,Transient,d995125f
PRT,1,1,No Deposit,0,0,Transient,e0ab8ce5
PRT,1,1,No Deposit,303,0,Transient,b0934ccb
PRT,3,3,No Deposit,240,0,Transient,ab8540e2
PRT,4,3,No Deposit,15,0,Transient,b69684a2
PRT,3,3,No Deposit,240,0,Transient,fba1f831
PRT,3,3,No Deposit,240,0,Transient,31fae356
USA,3,3,No Deposit,240,0,Transient,d9dc03fd
ESP,3,3,No Deposit,241,0,Transient,2b7cab0f
PRT,3,3,No Deposit,241,0,Transient,df179cef
IRL,3,3,No Deposit,240,0,Transient,a8742985
PRT,4,3,No Deposit,8,0,Contract,1a34f3c5
IRL,3,3,No Deposit,240,0,Transient,77aa4620
FRA,2,2,No Deposit,0,0,Transient,1a41dc4f
GBR,1,1,No Deposit,250,0,Transient,a883b5ff
GBR,3,3,No Deposit,241,0,Transient,44fb20e5
PRT,1,1,No Deposit,250,0,Transient,57078b83
PRT,1,1,No Deposit,250,0,Transient,443cb954
PRT,1,1,No Deposit,250,0,Transient,57c64723
GBR,4,3,No Deposit,115,0,Contract,311ac755
PRT,4,3,No Deposit,5,0,Transient,3d0f2e75
IRL,4,3,No Deposit,8,0,Contract,cd9a951f
PRT,3,3,No Deposit,240,0,Transient,e5c69bd6
PRT,3,3,No Deposit,240,0,Transient,8c6e8077
PRT,3,3,No Deposit,240,0,Transient,53ab4c33
Unknown,1,1,No Deposit,0,0,Transient,2a99e316
GBR,4,3,No Deposit,241,0,Transient,94e08817
PRT,1,1,No Deposit,0,0,Transient,513362c6
IRL,4,3,No Deposit,175,0,Transient,941d658e
PRT,3,3,No Deposit,241,0,Transient,6a5e07c1
PRT,3,3,No Deposit,241,0,Transient,049c897b
